party,ministry,questions,ministry_total,party_total,lift
KC(M),"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",5,1332,135,1.651
NOM.,PETROLEUM AND NATURAL GAS,9,1138,285,1.648
YSRCP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",36,1021,1271,1.647
AIADMK,AYUSH,22,1138,697,1.647
SHS(UBT),HOME AFFAIRS,20,1051,686,1.647
CPI,EDUCATION,32,2802,412,1.646
AJSU,PANCHAYATI RAJ,1,573,63,1.645
DMDK,RURAL DEVELOPMENT,1,1389,26,1.644
BAP,SOCIAL JUSTICE AND EMPOWERMENT,4,1048,138,1.642
CPI(ML)(L),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",10,1809,200,1.641
BRS,CORPORATE AFFAIRS,6,737,296,1.633
BJP,COOPERATION,459,731,22881,1.63
NCP(SP),SKILL DEVELOPMENT AND ENTREPRENEURSHIP,17,882,704,1.626
SKM,POWER,1,830,44,1.626
LJSP(RV),TRIBAL AFFAIRS,6,796,276,1.622
RSP,COMMERCE AND INDUSTRY,4,1356,108,1.622
RLM,SOCIAL JUSTICE AND EMPOWERMENT,1,1048,35,1.619
AIMIM,FINANCE,7,2253,114,1.618
LJSP(RV),"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",10,1332,276,1.615
JSP,HOUSING AND URBAN AFFAIRS,11,1823,222,1.614
JSP,NEW AND RENEWABLE ENERGY,6,995,222,1.613
SHS(UBT),RAILWAYS,54,2900,686,1.612
SS,EARTH SCIENCES,13,425,1132,1.605
JD(S),CHEMICALS AND FERTILIZERS,1,1235,30,1.603
NCP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",10,1809,205,1.601
CPI(ML)(L),DEFENCE,1,186,200,1.596
AAP,COAL,14,661,790,1.592
BRS,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,7,882,296,1.592
AITC,DEVELOPMENT OF NORTH EASTERN REGION,12,176,2544,1.591
KC(M),POWER,3,830,135,1.59
JD(U),RAILWAYS,79,2900,1018,1.589
UPPL,LABOUR AND EMPLOYMENT,5,1570,119,1.589
UPPL,STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,119,1.589
RJD,SOCIAL JUSTICE AND EMPOWERMENT,15,1048,537,1.583
PMK,PETROLEUM AND NATURAL GAS,1,1138,33,1.581
PMK,AYUSH,1,1138,33,1.581
AAP,SPACE,5,238,790,1.579
JSP,COMMERCE AND INDUSTRY,8,1356,222,1.578
KEC,HEALTH AND FAMILY WELFARE,5,3550,53,1.578
RLM,TOURISM,1,1076,35,1.577
AIMIM,COAL,2,661,114,1.576
RLD,HEALTH AND FAMILY WELFARE,11,3550,117,1.573
UPPL,WOMEN AND CHILD DEVELOPMENT,4,1271,119,1.57
VCK,DEVELOPMENT OF NORTH EASTERN REGION,1,176,215,1.569
RLD,ELECTRONICS AND INFORMATION TECHNOLOGY,3,971,117,1.568
RLP,SOCIAL JUSTICE AND EMPOWERMENT,4,1048,145,1.563
AJSU,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",3,1809,63,1.563
AIMIM,STEEL,1,334,114,1.56
BRS,ROAD TRANSPORT AND HIGHWAYS,16,2061,296,1.557
JD(S),WOMEN AND CHILD DEVELOPMENT,1,1271,30,1.557
NCP,DEFENCE,1,186,205,1.557
J&KNC,MINES,1,429,89,1.555
BRS,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",14,1809,296,1.553
AIADMK,"PORTS, SHIPPING AND WATERWAYS",14,769,697,1.551
RJD,LABOUR AND EMPLOYMENT,22,1570,537,1.55
NCP,HEALTH AND FAMILY WELFARE,19,3550,205,1.55
CPI,DEFENCE,2,186,412,1.55
ASP (KR),COMMERCE AND INDUSTRY,3,1356,85,1.546
KEC,RAILWAYS,4,2900,53,1.545
BRS,HOUSING AND URBAN AFFAIRS,14,1823,296,1.541
VCK,TOURISM,6,1076,215,1.54
YSRCP,EARTH SCIENCES,14,425,1271,1.539
LJSP(RV),TEXTILES,5,699,276,1.539
YSRCP,HOUSING AND URBAN AFFAIRS,60,1823,1271,1.538
NCP,"MICRO, SMALL AND MEDIUM ENTERPRISES",6,1131,205,1.537
BAP,COMMUNICATIONS,4,1120,138,1.537
RLD,COAL,2,661,117,1.536
SKM,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,1,882,44,1.53
RLD,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",4,1332,117,1.524
JMM,HEAVY INDUSTRIES,2,406,192,1.524
NCP(SP),"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",24,1332,704,1.52
SHS(UBT),HOUSING AND URBAN AFFAIRS,32,1823,686,1.519
SP,EDUCATION,167,2802,2331,1.518
SP,AGRICULTURE AND FARMERS WELFARE,164,2754,2331,1.517
AIMIM,ROAD TRANSPORT AND HIGHWAYS,6,2061,114,1.516
RJD,RURAL DEVELOPMENT,19,1389,537,1.513
RLP,COMMERCE AND INDUSTRY,5,1356,145,1.51
LJSP(RV),JAL SHAKTI,14,1997,276,1.508
BJP,DEVELOPMENT OF NORTH EASTERN REGION,102,176,22881,1.504
CPI,HEALTH AND FAMILY WELFARE,37,3550,412,1.502
LJSP(RV),PANCHAYATI RAJ,4,573,276,1.502
